2026-07-08T14:32:06Z | name=steam | tier=2 | source=live | model=claude-sonnet-4-6 | parents=Droplet+Ember | tags=[damage,area] | gate=first-pass | namingSha=26ac883f0d31e57b671afc3a7b97d55cffe2360cce9686ba7ab48f5f7bbf25fe | mechanicsSha=c6b12c63a67670affde4a5a5894766d29868385166f97ebe5030a5f5f1496b5a | 
2026-07-08T14:32:14Z | name=dewdrop-lens | tier=2 | source=live | model=claude-sonnet-4-6 | parents=Droplet+Glimmer | tags=[perceive,heal] | gate=first-pass | namingSha=26ac883f0d31e57b671afc3a7b97d55cffe2360cce9686ba7ab48f5f7bbf25fe | mechanicsSha=c6b12c63a67670affde4a5a5894766d29868385166f97ebe5030a5f5f1496b5a | 
2026-07-08T14:32:21Z | name=mist | tier=2 | source=live | model=claude-sonnet-4-6 | parents=Droplet+Gust | tags=[movement,heal] | gate=first-pass | namingSha=26ac883f0d31e57b671afc3a7b97d55cffe2360cce9686ba7ab48f5f7bbf25fe | mechanicsSha=c6b12c63a67670affde4a5a5894766d29868385166f97ebe5030a5f5f1496b5a | 
2026-07-08T14:32:29Z | name=riverstone | tier=2 | source=live | model=claude-sonnet-4-6 | parents=Droplet+Pebble | tags=[ward,heal,duration] | gate=first-pass | namingSha=26ac883f0d31e57b671afc3a7b97d55cffe2360cce9686ba7ab48f5f7bbf25fe | mechanicsSha=c6b12c63a67670affde4a5a5894766d29868385166f97ebe5030a5f5f1496b5a | 
2026-07-08T14:32:36Z | name=murk | tier=2 | source=live | model=claude-sonnet-4-6 | parents=Droplet+Umbra | tags=[conceal,duration] | gate=first-pass | namingSha=26ac883f0d31e57b671afc3a7b97d55cffe2360cce9686ba7ab48f5f7bbf25fe | mechanicsSha=c6b12c63a67670affde4a5a5894766d29868385166f97ebe5030a5f5f1496b5a | 
2026-07-08T14:32:45Z | name=beacon | tier=2 | source=live | model=claude-sonnet-4-6 | parents=Ember+Glimmer | tags=[damage,perceive] | gate=first-pass | namingSha=26ac883f0d31e57b671afc3a7b97d55cffe2360cce9686ba7ab48f5f7bbf25fe | mechanicsSha=c6b12c63a67670affde4a5a5894766d29868385166f97ebe5030a5f5f1496b5a | 
2026-07-08T14:32:53Z | name=blaze | tier=2 | source=live | model=claude-sonnet-4-6 | parents=Ember+Gust | tags=[damage,movement,area] | gate=first-pass | namingSha=26ac883f0d31e57b671afc3a7b97d55cffe2360cce9686ba7ab48f5f7bbf25fe | mechanicsSha=c6b12c63a67670affde4a5a5894766d29868385166f97ebe5030a5f5f1496b5a | 
2026-07-08T14:33:01Z | name=cinder-rock | tier=2 | source=live | model=claude-sonnet-4-6 | parents=Ember+Pebble | tags=[damage,ward] | gate=first-pass | namingSha=26ac883f0d31e57b671afc3a7b97d55cffe2360cce9686ba7ab48f5f7bbf25fe | mechanicsSha=c6b12c63a67670affde4a5a5894766d29868385166f97ebe5030a5f5f1496b5a | 
2026-07-08T14:33:08Z | name=smoke | tier=2 | source=live | model=claude-sonnet-4-6 | parents=Ember+Umbra | tags=[conceal,area] | gate=first-pass | namingSha=26ac883f0d31e57b671afc3a7b97d55cffe2360cce9686ba7ab48f5f7bbf25fe | mechanicsSha=c6b12c63a67670affde4a5a5894766d29868385166f97ebe5030a5f5f1496b5a | 
2026-07-08T14:33:15Z | name=drift | tier=2 | source=live | model=claude-sonnet-4-6 | parents=Glimmer+Gust | tags=[movement,perceive] | gate=first-pass | namingSha=26ac883f0d31e57b671afc3a7b97d55cffe2360cce9686ba7ab48f5f7bbf25fe | mechanicsSha=c6b12c63a67670affde4a5a5894766d29868385166f97ebe5030a5f5f1496b5a | 
2026-07-08T14:33:22Z | name=cairn | tier=2 | source=live | model=claude-sonnet-4-6 | parents=Glimmer+Pebble | tags=[ward,perceive] | gate=first-pass | namingSha=26ac883f0d31e57b671afc3a7b97d55cffe2360cce9686ba7ab48f5f7bbf25fe | mechanicsSha=c6b12c63a67670affde4a5a5894766d29868385166f97ebe5030a5f5f1496b5a | 
2026-07-08T14:33:28Z | name=penumbra | tier=2 | source=live | model=claude-sonnet-4-6 | parents=Glimmer+Umbra | tags=[perceive,conceal] | gate=first-pass | namingSha=26ac883f0d31e57b671afc3a7b97d55cffe2360cce9686ba7ab48f5f7bbf25fe | mechanicsSha=c6b12c63a67670affde4a5a5894766d29868385166f97ebe5030a5f5f1496b5a | 
2026-07-08T14:33:33Z | name=dust-devil | tier=2 | source=live | model=claude-sonnet-4-6 | parents=Gust+Pebble | tags=[movement,area] | gate=first-pass | namingSha=26ac883f0d31e57b671afc3a7b97d55cffe2360cce9686ba7ab48f5f7bbf25fe | mechanicsSha=c6b12c63a67670affde4a5a5894766d29868385166f97ebe5030a5f5f1496b5a | 
2026-07-08T14:33:44Z | name=murk | tier=2 | source=live | model=claude-sonnet-4-6 | parents=Gust+Umbra | tags=[conceal,movement] | gate=first-pass | namingSha=26ac883f0d31e57b671afc3a7b97d55cffe2360cce9686ba7ab48f5f7bbf25fe | mechanicsSha=c6b12c63a67670affde4a5a5894766d29868385166f97ebe5030a5f5f1496b5a | 
