kitA,kitB,seed,duration,endReason,winner,castsA,castsB,distinctVerbs,statuses,leadChanges,dmgToA,dmgToB,hpScale,hpA,hpB,mana
a-defensive-earth-warden-1,a-defensive-earth-warden-2,1,22.3,oom,a-defensive-earth-warden-2,9,7,5,31,2,1141.3,1108.3,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-2,a-defensive-earth-warden-1,1,21.8,death,a-defensive-earth-warden-2,6,8,5,30,0,890.7,1357.7,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-1,a-defensive-earth-warden-2,2,22.3,oom,a-defensive-earth-warden-2,9,7,5,31,2,1141.3,1108.3,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-2,a-defensive-earth-warden-1,2,21.8,death,a-defensive-earth-warden-2,6,8,5,30,0,890.7,1357.7,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-1,a-defensive-earth-warden-2,3,22.3,oom,a-defensive-earth-warden-2,9,7,5,31,2,1141.3,1108.3,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-2,a-defensive-earth-warden-1,3,21.8,death,a-defensive-earth-warden-2,6,8,5,30,0,890.7,1357.7,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-1,a-defensive-earth-warden-2,4,22.3,oom,a-defensive-earth-warden-2,9,7,5,31,2,1141.3,1108.3,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-2,a-defensive-earth-warden-1,4,21.8,death,a-defensive-earth-warden-2,6,8,5,30,0,890.7,1357.7,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-1,a-defensive-earth-warden-2,5,22.3,oom,a-defensive-earth-warden-2,9,7,5,31,2,1141.3,1108.3,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-2,a-defensive-earth-warden-1,5,21.8,death,a-defensive-earth-warden-2,6,8,5,30,0,890.7,1357.7,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-1,a-hit-and-run-wind-duelist-1,1,12.2,death,a-defensive-earth-warden-1,6,5,6,15,1,298.6,1331.2,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-1,a-defensive-earth-warden-1,1,12.7,death,a-defensive-earth-warden-1,6,6,6,17,1,1331.2,397.4,8.0,1280.0,1280.0,250.0
