kitA,kitB,seed,duration,endReason,winner,castsA,castsB,distinctVerbs,statuses,leadChanges,dmgToA,dmgToB,hpScale,hpA,hpB,mana,amplifyMajor
a-defensive-earth-warden-1,a-defensive-earth-warden-2,1,20.3,oom,a-defensive-earth-warden-1,9,7,5,28,0,0.0,925.2,8.0,1280.0,1280.0,250.0,1.75
a-defensive-earth-warden-2,a-defensive-earth-warden-1,1,21.3,oom,a-defensive-earth-warden-1,7,9,5,29,1,976.4,53.1,8.0,1280.0,1280.0,250.0,1.75
a-defensive-earth-warden-1,a-defensive-earth-warden-2,2,20.3,oom,a-defensive-earth-warden-1,9,7,5,28,0,0.0,925.2,8.0,1280.0,1280.0,250.0,1.75
a-defensive-earth-warden-2,a-defensive-earth-warden-1,2,21.3,oom,a-defensive-earth-warden-1,7,9,5,29,1,976.4,53.1,8.0,1280.0,1280.0,250.0,1.75
a-defensive-earth-warden-1,a-defensive-earth-warden-2,3,20.3,oom,a-defensive-earth-warden-1,9,7,5,28,0,0.0,925.2,8.0,1280.0,1280.0,250.0,1.75
a-defensive-earth-warden-2,a-defensive-earth-warden-1,3,21.3,oom,a-defensive-earth-warden-1,7,9,5,29,1,976.4,53.1,8.0,1280.0,1280.0,250.0,1.75
a-defensive-earth-warden-1,a-defensive-earth-warden-2,4,20.3,oom,a-defensive-earth-warden-1,9,7,5,28,0,0.0,925.2,8.0,1280.0,1280.0,250.0,1.75
a-defensive-earth-warden-2,a-defensive-earth-warden-1,4,21.3,oom,a-defensive-earth-warden-1,7,9,5,29,1,976.4,53.1,8.0,1280.0,1280.0,250.0,1.75
a-defensive-earth-warden-1,a-defensive-earth-warden-2,5,20.3,oom,a-defensive-earth-warden-1,9,7,5,28,0,0.0,925.2,8.0,1280.0,1280.0,250.0,1.75
a-defensive-earth-warden-2,a-defensive-earth-warden-1,5,21.3,oom,a-defensive-earth-warden-1,7,9,5,29,1,976.4,53.1,8.0,1280.0,1280.0,250.0,1.75
a-defensive-earth-warden-1,a-hit-and-run-wind-duelist-1,1,11.4,death,a-defensive-earth-warden-1,5,5,6,18,1,370.1,1292.8,8.0,1280.0,1280.0,250.0,1.75
a-hit-and-run-wind-duelist-1,a-defensive-earth-warden-1,1,10.9,death,a-defensive-earth-warden-1,6,5,6,20,1,1347.8,436.0,8.0,1280.0,1280.0,250.0,1.75
